state_abr,state_name,num_births,num_fertility_rate,num_deaths,num_death_rate,num_dui_deaths,per_dui_survey_reported,per_heavy_drinker_survey_reported,num_population,per_dui_deaths
AK,Alaska,11282.00,77.00,4128.00,560.30,205.00,1.60,8.80,736732.00,4.97
AL,Alabama,59657.00,62.20,50215.00,1035.50,2997.00,1.30,4.50,4849377.00,5.97
AR,Arkansas,38886.00,67.50,30467.00,1027.10,1636.00,1.40,5.10,2966369.00,5.37
AZ,Arizona,85351.00,64.70,51538.00,765.60,2656.00,1.60,5.80,6731484.00,5.15
CA,California,491748.00,60.80,245929.00,633.80,9791.00,1.90,5.70,38802500.00,3.98
CO,Colorado,66581.00,60.20,35237.00,657.90,1599.00,1.90,6.50,5355866.00,4.54
CT,Connecticut,35746.00,52.50,29860.00,830.20,1049.00,1.90,5.70,3596677.00,3.51
DC,District of Columbia,9578.00,52.80,4723.00,716.80,96.00,1.90,9.00,658893.00,2.03
DE,Delaware,11166.00,61.80,8260.00,882.80,430.00,1.70,5.20,935614.00,5.21
FL,Florida,224269.00,60.00,185956.00,934.80,8053.00,1.70,6.70,19893297.00,4.33
GA,Georgia,131404.00,62.00,76887.00,761.50,3513.00,0.70,5.30,10097343.00,4.57
HI,Hawaii,18420.00,68.70,10767.00,758.50,453.00,2.10,7.90,1419561.00,4.21
IA,Iowa,39482.00,67.10,29190.00,939.50,967.00,2.80,6.30,3107126.00,3.31
ID,Idaho,22827.00,71.80,12613.00,771.70,661.00,1.60,5.00,1634464.00,5.24
IL,Illinois,158116.00,61.30,105293.00,817.50,3554.00,1.80,6.50,12880580.00,3.38
IN,Indiana,84040.00,64.80,60940.00,923.80,2171.00,1.60,5.20,6596855.00,3.56
KS,Kansas,39154.00,69.90,25793.00,888.20,1142.00,1.40,5.10,2904021.00,4.43
KY,Kentucky,55971.00,65.70,44838.00,1015.90,1900.00,1.40,5.50,4413457.00,4.24
LA,Louisiana,64692.00,68.50,43869.00,943.50,2875.00,2.20,6.50,4649676.00,6.55
MA,Massachusetts,71492.00,52.00,55200.00,818.30,1309.00,2.00,7.00,6745408.00,2.37
MD,Maryland,73616.00,61.30,45867.00,767.50,1586.00,1.80,5.30,5976407.00,3.46
ME,Maine,12607.00,54.30,13510.00,1015.70,454.00,1.70,7.10,1330089.00,3.36
MI,Michigan,113312.00,60.30,93914.00,947.70,2710.00,2.20,6.80,9909877.00,2.89
MN,Minnesota,69834.00,66.30,41445.00,759.50,1274.00,1.90,6.40,5457173.00,3.07
MO,Missouri,75061.00,63.80,58320.00,961.80,3004.00,1.30,5.20,6063589.00,5.15
MS,Mississippi,38394.00,64.00,30557.00,1020.60,2367.00,1.60,4.30,2994079.00,7.75
MT,Montana,12583.00,67.30,9381.00,916.50,897.00,2.40,7.50,1023579.00,9.56
NC,North Carolina,120843.00,60.70,85367.00,858.50,3996.00,1.20,5.10,9943964.00,4.68
ND,North Dakota,11314.00,76.40,6184.00,836.30,539.00,3.40,6.70,739482.00,8.72
NE,Nebraska,26679.00,72.80,15978.00,849.20,631.00,2.50,6.40,1881503.00,3.95
NH,New Hampshire,12433.00,51.30,11516.00,867.90,386.00,1.30,7.10,1326813.00,3.35
NJ,New Jersey,103127.00,60.00,71316.00,797.90,1747.00,1.40,4.80,8938175.00,2.45
NM,New Mexico,25816.00,65.30,17579.00,842.90,1166.00,1.10,5.70,2085572.00,6.63
NV,Nevada,36298.00,63.30,21793.00,767.60,968.00,2.20,6.90,2839099.00,4.44
NY,New York,237274.00,58.80,149944.00,759.40,3605.00,1.00,4.90,19746227.00,2.40
OH,Ohio,139264.00,63.10,114509.00,987.60,3457.00,2.00,6.40,11594163.00,3.02
OK,Oklahoma,53122.00,69.10,38464.00,991.80,2095.00,0.90,3.90,3878051.00,5.45
OR,Oregon,45655.00,58.10,34151.00,860.20,1129.00,1.60,7.70,3970239.00,3.31
PA,Pennsylvania,141047.00,58.70,128434.00,1004.40,4355.00,1.80,6.00,12787209.00,3.39
RI,Rhode Island,10993.00,52.50,9770.00,925.90,265.00,2.50,6.20,1055173.00,2.71
SC,South Carolina,58139.00,61.10,45454.00,940.60,3723.00,1.60,5.90,4832482.00,8.19
SD,South Dakota,12336.00,78.20,7507.00,879.90,469.00,2.20,5.00,853175.00,6.25
TN,Tennessee,81685.00,62.80,64661.00,987.30,3154.00,1.10,4.10,6549352.00,4.88
TX,Texas,403618.00,70.20,183912.00,682.20,13171.00,1.80,5.80,26956958.00,7.16
UT,Utah,50778.00,78.00,16719.00,568.10,456.00,0.80,3.30,2942902.00,2.73
VA,Virginia,103303.00,61.30,63598.00,763.80,2518.00,1.50,5.30,8326289.00,3.96
VT,Vermont,5903.00,51.10,5623.00,897.40,199.00,1.80,9.10,626562.00,3.54
WA,Washington,88990.00,62.80,52099.00,737.80,1799.00,1.90,6.80,7061530.00,3.45
WI,Wisconsin,67041.00,61.80,50291.00,873.50,2300.00,2.20,7.20,5757564.00,4.57
WV,West Virginia,19805.00,59.40,22186.00,1199.00,1040.00,0.50,3.60,1850326.00,4.69
WY,Wyoming,7765.00,70.20,4666.00,798.80,484.00,1.40,6.20,584153.00,10.37
